Pin,Domain,IREFTRIM,TAP,Register,Field,Size,Base,ExpectedData,LowLimit,HighLimit,ItuffToken,ItuffDescriptor,ExitPort,StorageToken,Equation
CPU_TDO,ATOM0,1,ATOMSLICE0_DLVRLATOM,DLVR_TAP_ADC_STATUS,VCS_DATA_STATUS,10,-,-,-,-,CPU_0xFE,-,-,-,-
CPU_TDO,ATOM0,2,ATOMSLICE0_DLVRLATOM,DLVR_TAP_ADC_STATUS,VCS_DATA_STATUS,10,-,-,-,-,CPU_0xFB,-,-,-,-
CPU_TDO,ATOM0,3,ATOMSLICE0_DLVRLATOM,DLVR_TAP_ADC_STATUS,VCS_DATA_STATUS,10,-,-,-,-,CPU_0xF8,-,-,-,-
CPU_TDO,ATOM0,4,ATOMSLICE0_DLVRLATOM,DLVR_TAP_ADC_STATUS,VCS_DATA_STATUS,10,-,-,-,-,CPU_0xF4,-,-,-,-
CPU_TDO,ATOM0,5,ATOMSLICE0_DLVRLATOM,DLVR_TAP_ADC_STATUS,VCS_DATA_STATUS,10,-,-,-,-,CPU_0xF0,-,-,-,-
CPU_TDO,ATOM0,6,ATOMSLICE0_DLVRLATOM,DLVR_TAP_ADC_STATUS,VCS_DATA_STATUS,10,-,-,-,-,CPU_0xEF,-,-,-,-
CPU_TDO,ATOM0,7,ATOMSLICE0_DLVRLATOM,DLVR_TAP_ADC_STATUS,VCS_DATA_STATUS,10,-,-,-,-,CPU_0xDF,-,-,-,-
CPU_TDO,ATOM0,8,ATOMSLICE0_DLVRLATOM,DLVR_TAP_ADC_STATUS,VCS_DATA_STATUS,10,-,-,-,-,CPU_0xBF,-,-,-,-
CPU_TDO,ATOM0,9,ATOMSLICE0_DLVRLATOM,DLVR_TAP_ADC_STATUS,VCS_DATA_STATUS,10,-,-,-,-,CPU_0x7F,-,-,-,-
CPU_TDO,ATOM1,1,ATOMSLICE0_DLVRRATOM,DLVR_TAP_ADC_STATUS,VCS_DATA_STATUS,10,-,-,-,-,CPU_0xFE,-,-,-,-
CPU_TDO,ATOM1,2,ATOMSLICE0_DLVRRATOM,DLVR_TAP_ADC_STATUS,VCS_DATA_STATUS,10,-,-,-,-,CPU_0xFB,-,-,-,-
CPU_TDO,ATOM1,3,ATOMSLICE0_DLVRRATOM,DLVR_TAP_ADC_STATUS,VCS_DATA_STATUS,10,-,-,-,-,CPU_0xF8,-,-,-,-
CPU_TDO,ATOM1,4,ATOMSLICE0_DLVRRATOM,DLVR_TAP_ADC_STATUS,VCS_DATA_STATUS,10,-,-,-,-,CPU_0xF4,-,-,-,-
CPU_TDO,ATOM1,5,ATOMSLICE0_DLVRRATOM,DLVR_TAP_ADC_STATUS,VCS_DATA_STATUS,10,-,-,-,-,CPU_0xF0,-,-,-,-
CPU_TDO,ATOM1,6,ATOMSLICE0_DLVRRATOM,DLVR_TAP_ADC_STATUS,VCS_DATA_STATUS,10,-,-,-,-,CPU_0xEF,-,-,-,-
CPU_TDO,ATOM1,7,ATOMSLICE0_DLVRRATOM,DLVR_TAP_ADC_STATUS,VCS_DATA_STATUS,10,-,-,-,-,CPU_0xDF,-,-,-,-
CPU_TDO,ATOM1,8,ATOMSLICE0_DLVRRATOM,DLVR_TAP_ADC_STATUS,VCS_DATA_STATUS,10,-,-,-,-,CPU_0xBF,-,-,-,-
CPU_TDO,ATOM1,9,ATOMSLICE0_DLVRRATOM,DLVR_TAP_ADC_STATUS,VCS_DATA_STATUS,10,-,-,-,-,CPU_0x7F,-,-,-,-
CPU_TDO,CORE0P,1,BCSLICE0_BSL_DLVRCORE_BOT,DLVR_TAP_ADC_STATUS,VCS_DATA_STATUS,10,-,-,-,-,CPU_0xFE,-,-,-,-
CPU_TDO,CORE0P,2,BCSLICE0_BSL_DLVRCORE_BOT,DLVR_TAP_ADC_STATUS,VCS_DATA_STATUS,10,-,-,-,-,CPU_0xFB,-,-,-,-
CPU_TDO,CORE0P,3,BCSLICE0_BSL_DLVRCORE_BOT,DLVR_TAP_ADC_STATUS,VCS_DATA_STATUS,10,-,-,-,-,CPU_0xF8,-,-,-,-
CPU_TDO,CORE0P,4,BCSLICE0_BSL_DLVRCORE_BOT,DLVR_TAP_ADC_STATUS,VCS_DATA_STATUS,10,-,-,-,-,CPU_0xF4,-,-,-,-
CPU_TDO,CORE0P,5,BCSLICE0_BSL_DLVRCORE_BOT,DLVR_TAP_ADC_STATUS,VCS_DATA_STATUS,10,-,-,-,-,CPU_0xF0,-,-,-,-
CPU_TDO,CORE0P,6,BCSLICE0_BSL_DLVRCORE_BOT,DLVR_TAP_ADC_STATUS,VCS_DATA_STATUS,10,-,-,-,-,CPU_0xEF,-,-,-,-
CPU_TDO,CORE0P,7,BCSLICE0_BSL_DLVRCORE_BOT,DLVR_TAP_ADC_STATUS,VCS_DATA_STATUS,10,-,-,-,-,CPU_0xDF,-,-,-,-
CPU_TDO,CORE0P,8,BCSLICE0_BSL_DLVRCORE_BOT,DLVR_TAP_ADC_STATUS,VCS_DATA_STATUS,10,-,-,-,-,CPU_0xBF,-,-,-,-
CPU_TDO,CORE0P,9,BCSLICE0_BSL_DLVRCORE_BOT,DLVR_TAP_ADC_STATUS,VCS_DATA_STATUS,10,-,-,-,-,CPU_0x7F,-,-,-,-
CPU_TDO,CORE0S,1,BCSLICE0_BSL_DLVRCORE_TOP,DLVR_TAP_ADC_STATUS,VCS_DATA_STATUS,10,-,-,-,-,CPU_0xFE,-,-,-,-
CPU_TDO,CORE0S,2,BCSLICE0_BSL_DLVRCORE_TOP,DLVR_TAP_ADC_STATUS,VCS_DATA_STATUS,10,-,-,-,-,CPU_0xFB,-,-,-,-
CPU_TDO,CORE0S,3,BCSLICE0_BSL_DLVRCORE_TOP,DLVR_TAP_ADC_STATUS,VCS_DATA_STATUS,10,-,-,-,-,CPU_0xF8,-,-,-,-
CPU_TDO,CORE0S,4,BCSLICE0_BSL_DLVRCORE_TOP,DLVR_TAP_ADC_STATUS,VCS_DATA_STATUS,10,-,-,-,-,CPU_0xF4,-,-,-,-
CPU_TDO,CORE0S,5,BCSLICE0_BSL_DLVRCORE_TOP,DLVR_TAP_ADC_STATUS,VCS_DATA_STATUS,10,-,-,-,-,CPU_0xF0,-,-,-,-
CPU_TDO,CORE0S,6,BCSLICE0_BSL_DLVRCORE_TOP,DLVR_TAP_ADC_STATUS,VCS_DATA_STATUS,10,-,-,-,-,CPU_0xEF,-,-,-,-
CPU_TDO,CORE0S,7,BCSLICE0_BSL_DLVRCORE_TOP,DLVR_TAP_ADC_STATUS,VCS_DATA_STATUS,10,-,-,-,-,CPU_0xDF,-,-,-,-
CPU_TDO,CORE0S,8,BCSLICE0_BSL_DLVRCORE_TOP,DLVR_TAP_ADC_STATUS,VCS_DATA_STATUS,10,-,-,-,-,CPU_0xBF,-,-,-,-
CPU_TDO,CORE0S,9,BCSLICE0_BSL_DLVRCORE_TOP,DLVR_TAP_ADC_STATUS,VCS_DATA_STATUS,10,-,-,-,-,CPU_0x7F,-,-,-,-
CPU_TDO,CORE1P,1,BCSLICE0_BSR_DLVRCORE_BOT,DLVR_TAP_ADC_STATUS,VCS_DATA_STATUS,10,-,-,-,-,CPU_0xFE,-,-,-,-
CPU_TDO,CORE1P,2,BCSLICE0_BSR_DLVRCORE_BOT,DLVR_TAP_ADC_STATUS,VCS_DATA_STATUS,10,-,-,-,-,CPU_0xFB,-,-,-,-
CPU_TDO,CORE1P,3,BCSLICE0_BSR_DLVRCORE_BOT,DLVR_TAP_ADC_STATUS,VCS_DATA_STATUS,10,-,-,-,-,CPU_0xF8,-,-,-,-
CPU_TDO,CORE1P,4,BCSLICE0_BSR_DLVRCORE_BOT,DLVR_TAP_ADC_STATUS,VCS_DATA_STATUS,10,-,-,-,-,CPU_0xF4,-,-,-,-
CPU_TDO,CORE1P,5,BCSLICE0_BSR_DLVRCORE_BOT,DLVR_TAP_ADC_STATUS,VCS_DATA_STATUS,10,-,-,-,-,CPU_0xF0,-,-,-,-
CPU_TDO,CORE1P,6,BCSLICE0_BSR_DLVRCORE_BOT,DLVR_TAP_ADC_STATUS,VCS_DATA_STATUS,10,-,-,-,-,CPU_0xEF,-,-,-,-
CPU_TDO,CORE1P,7,BCSLICE0_BSR_DLVRCORE_BOT,DLVR_TAP_ADC_STATUS,VCS_DATA_STATUS,10,-,-,-,-,CPU_0xDF,-,-,-,-
CPU_TDO,CORE1P,8,BCSLICE0_BSR_DLVRCORE_BOT,DLVR_TAP_ADC_STATUS,VCS_DATA_STATUS,10,-,-,-,-,CPU_0xBF,-,-,-,-
CPU_TDO,CORE1P,9,BCSLICE0_BSR_DLVRCORE_BOT,DLVR_TAP_ADC_STATUS,VCS_DATA_STATUS,10,-,-,-,-,CPU_0x7F,-,-,-,-
CPU_TDO,CORE1S,1,BCSLICE0_BSR_DLVRCORE_TOP,DLVR_TAP_ADC_STATUS,VCS_DATA_STATUS,10,-,-,-,-,CPU_0xFE,-,-,-,-
CPU_TDO,CORE1S,2,BCSLICE0_BSR_DLVRCORE_TOP,DLVR_TAP_ADC_STATUS,VCS_DATA_STATUS,10,-,-,-,-,CPU_0xFB,-,-,-,-
CPU_TDO,CORE1S,3,BCSLICE0_BSR_DLVRCORE_TOP,DLVR_TAP_ADC_STATUS,VCS_DATA_STATUS,10,-,-,-,-,CPU_0xF8,-,-,-,-
CPU_TDO,CORE1S,4,BCSLICE0_BSR_DLVRCORE_TOP,DLVR_TAP_ADC_STATUS,VCS_DATA_STATUS,10,-,-,-,-,CPU_0xF4,-,-,-,-
CPU_TDO,CORE1S,5,BCSLICE0_BSR_DLVRCORE_TOP,DLVR_TAP_ADC_STATUS,VCS_DATA_STATUS,10,-,-,-,-,CPU_0xF0,-,-,-,-
CPU_TDO,CORE1S,6,BCSLICE0_BSR_DLVRCORE_TOP,DLVR_TAP_ADC_STATUS,VCS_DATA_STATUS,10,-,-,-,-,CPU_0xEF,-,-,-,-
CPU_TDO,CORE1S,7,BCSLICE0_BSR_DLVRCORE_TOP,DLVR_TAP_ADC_STATUS,VCS_DATA_STATUS,10,-,-,-,-,CPU_0xDF,-,-,-,-
CPU_TDO,CORE1S,8,BCSLICE0_BSR_DLVRCORE_TOP,DLVR_TAP_ADC_STATUS,VCS_DATA_STATUS,10,-,-,-,-,CPU_0xBF,-,-,-,-
CPU_TDO,CORE1S,9,BCSLICE0_BSR_DLVRCORE_TOP,DLVR_TAP_ADC_STATUS,VCS_DATA_STATUS,10,-,-,-,-,CPU_0x7F,-,-,-,-
CPU_TDO,RINGPRIM,1,BCSLICE0_BSL_DLVRRING,DLVR_TAP_ADC_STATUS,VCS_DATA_STATUS,10,-,-,-,-,CPU_0xFE,-,-,-,-
CPU_TDO,RINGPRIM,2,BCSLICE0_BSL_DLVRRING,DLVR_TAP_ADC_STATUS,VCS_DATA_STATUS,10,-,-,-,-,CPU_0xFB,-,-,-,-
CPU_TDO,RINGPRIM,3,BCSLICE0_BSL_DLVRRING,DLVR_TAP_ADC_STATUS,VCS_DATA_STATUS,10,-,-,-,-,CPU_0xF8,-,-,-,-
CPU_TDO,RINGPRIM,4,BCSLICE0_BSL_DLVRRING,DLVR_TAP_ADC_STATUS,VCS_DATA_STATUS,10,-,-,-,-,CPU_0xF4,-,-,-,-
CPU_TDO,RINGPRIM,5,BCSLICE0_BSL_DLVRRING,DLVR_TAP_ADC_STATUS,VCS_DATA_STATUS,10,-,-,-,-,CPU_0xF0,-,-,-,-
CPU_TDO,RINGPRIM,6,BCSLICE0_BSL_DLVRRING,DLVR_TAP_ADC_STATUS,VCS_DATA_STATUS,10,-,-,-,-,CPU_0xEF,-,-,-,-
CPU_TDO,RINGPRIM,7,BCSLICE0_BSL_DLVRRING,DLVR_TAP_ADC_STATUS,VCS_DATA_STATUS,10,-,-,-,-,CPU_0xDF,-,-,-,-
CPU_TDO,RINGPRIM,8,BCSLICE0_BSL_DLVRRING,DLVR_TAP_ADC_STATUS,VCS_DATA_STATUS,10,-,-,-,-,CPU_0xBF,-,-,-,-
CPU_TDO,RINGPRIM,9,BCSLICE0_BSL_DLVRRING,DLVR_TAP_ADC_STATUS,VCS_DATA_STATUS,10,-,-,-,-,CPU_0x7F,-,-,-,-
CPU_TDO,RINGSEC0,1,BCSLICE0_BSR_DLVRRING,DLVR_TAP_ADC_STATUS,VCS_DATA_STATUS,10,-,-,-,-,CPU_0xFE,-,-,-,-
CPU_TDO,RINGSEC0,2,BCSLICE0_BSR_DLVRRING,DLVR_TAP_ADC_STATUS,VCS_DATA_STATUS,10,-,-,-,-,CPU_0xFB,-,-,-,-
CPU_TDO,RINGSEC0,3,BCSLICE0_BSR_DLVRRING,DLVR_TAP_ADC_STATUS,VCS_DATA_STATUS,10,-,-,-,-,CPU_0xF8,-,-,-,-
CPU_TDO,RINGSEC0,4,BCSLICE0_BSR_DLVRRING,DLVR_TAP_ADC_STATUS,VCS_DATA_STATUS,10,-,-,-,-,CPU_0xF4,-,-,-,-
CPU_TDO,RINGSEC0,5,BCSLICE0_BSR_DLVRRING,DLVR_TAP_ADC_STATUS,VCS_DATA_STATUS,10,-,-,-,-,CPU_0xF0,-,-,-,-
CPU_TDO,RINGSEC0,6,BCSLICE0_BSR_DLVRRING,DLVR_TAP_ADC_STATUS,VCS_DATA_STATUS,10,-,-,-,-,CPU_0xEF,-,-,-,-
CPU_TDO,RINGSEC0,7,BCSLICE0_BSR_DLVRRING,DLVR_TAP_ADC_STATUS,VCS_DATA_STATUS,10,-,-,-,-,CPU_0xDF,-,-,-,-
CPU_TDO,RINGSEC0,8,BCSLICE0_BSR_DLVRRING,DLVR_TAP_ADC_STATUS,VCS_DATA_STATUS,10,-,-,-,-,CPU_0xBF,-,-,-,-
CPU_TDO,RINGSEC0,9,BCSLICE0_BSR_DLVRRING,DLVR_TAP_ADC_STATUS,VCS_DATA_STATUS,10,-,-,-,-,CPU_0x7F,-,-,-,-
