SCENARIO,COMPONENT,FAIL_DESC,BIN
.*,AT.*,Vmin exceeds limit,790
.*,CCF.*,Vmin exceeds limit,791
.*,GT,Vmin exceeds limit,792
.*,IA.*,Vmin exceeds limit,793
.*,LPATOM.*,Vmin exceeds limit,794
.*,QCLK,Vmin exceeds limit,795
.*,DE,Vmin exceeds limit,796
.*,IPU,Vmin exceeds limit,797
.*,SACD,Vmin exceeds limit,798
.*,.*,Vmin exceeds limit,799
.*,.*,Invalid sicc measurement,1408
.*,.*,One of the domains in domains is not in Vmin,1409
.*,AT.*,Guardband frequencies are not covered by measurements,1410
.*,CCF.*,Guardband frequencies are not covered by measurements,1411
.*,GT,Guardband frequencies are not covered by measurements,1412
.*,IA.*,Guardband frequencies are not covered by measurements,1413
.*,LPATOM.*,Guardband frequencies are not covered by measurements,1414
.*,QCLK,Guardband frequencies are not covered by measurements,1415
.*,DE,Guardband frequencies are not covered by measurements,1416
.*,IPU,Guardband frequencies are not covered by measurements,1417
.*,.*,Guardband frequencies are not covered by measurements,1419
.*,RECOVERYIAATOM,Pass/Fail Bit Vector doesn't fit the configuration group values,1420
.*,GTrecovery,Pass/Fail Bit Vector doesn't fit the configuration group values,1421
.*,HUBrecovery,Pass/Fail Bit Vector doesn't fit the configuration group values,1422
.*,.*,Pass/Fail Bit Vector doesn't fit the configuration group values,1429
.*,IAPCPS,.*,1430
.*,ATPCPS,.*,1431
.*,IAdom.*,Voltage Exceeds VrelMax,1440
.*,ATOMdom.*,Voltage Exceeds VrelMax,1441
.*,CCFdom.*,Voltage Exceeds VrelMax,1442
.*,GTdom,Voltage Exceeds VrelMax,1443
.*,SAdom,Voltage Exceeds VrelMax,1444
.*,SRAMdom,Voltage Exceeds VrelMax,1445
.*,.*,Voltage Exceeds VrelMax,1449
P1,PKG,Total power exceeds the power limit,1450
.*,.*,Total power exceeds the power limit,1451
.*,VCCIA,Wc Icc exceeds ICC_LIMIT,1460
.*,VCCGT,Wc Icc exceeds ICC_LIMIT,1461
.*,VCCSA,Wc Icc exceeds ICC_LIMIT,1462
.*,VANNON,Wc Icc exceeds ICC_LIMIT,1463
.*,.*,Wc Icc exceeds ICC_LIMIT,1469
.*,.*,Svid exceeds max VR limit,1470
.*,.*,Fuse Value Fail,1480
.*,.*,.*,1489