SCENARIO_NAME,ISOVOLT,SCEN_MODE,OTHER_PWR,PCPS_NUM,DYN_STATIC_RATIO,AR,FREQUENCIES,PWR_ICC_VREL_LIMITS,TEMPERATURES,ENABLES,VCCSA_LL,SAQG2_ENABLE
IAP01,OFF,IAP01,ZERO,1MODULE,OFF,ALL_1,IAP01,VRELMAX_ICCMAX,TEMP_100,IAP0,POR,G4
IAP02,CCFFREQ_IAVOLT,IAP02,ZERO,2MODULE,OFF,ALL_1,IAP02,VRELMAX_ICCMAX,TEMP_100,IAP0,POR,G4
IAP03,CCFFREQ_IAVOLT,IAP03,ZERO,3MODULE,OFF,ALL_1,IAP03,VRELMAX_ICCMAX,TEMP_100,IAP0,POR,G4
IAP04,CCFFREQ_IAVOLT,IAP04,ZERO,4MODULE,OFF,ALL_1,IAP04,VRELMAX_ICCMAX,TEMP_100,IAP0,POR,G4
ATP01,CCFFREQ_ATOMVOLT,ATP01,ZERO,1MODULE,OFF,ALL_1,ATP01,VRELMAX_ICCMAX,TEMP_100,ATP0,POR,G4
ATP02,CCFFREQ_ATOMVOLT,ATP02,ZERO,2MODULE,OFF,ALL_1,ATP02,VRELMAX_ICCMAX,TEMP_100,ATP0,POR,G4
ATP03,CCFFREQ_ATOMVOLT,ATP03,ZERO,3MODULE,OFF,ALL_1,ATP03,VRELMAX_ICCMAX,TEMP_100,ATP0,POR,G4
ATP04,CCFFREQ_ATOMVOLT,ATP04,ZERO,4MODULE,OFF,ALL_1,ATP04,VRELMAX_ICCMAX,TEMP_100,ATP0,POR,G4
GTP0,OFF,GTP0,ZERO,DISABLE,GTP0,GT_0.5,GTP0,VRELMAX_ICCMAX,TEMP_100,GTP0,POR,G4
GTP0_ICCMAX,OFF,GTP0,ZERO,DISABLE,GTP0,ALL_1,GTP0,VRELMAX_ICCMAX,TEMP_100,GTP0,POR,G4
P1,OFF,EDC,P1,DISABLE,P1,P1_AR,P1,TDP,P1,P1,POR,G4
P1_CB24,OFF,ON,P1,DISABLE,P1,P1_CB24_AR,P1,TDP,TEMP_100,P1,POR,G4
IAP05,CCFFREQ_IAVOLT,IAP05,ZERO,5MODULE,OFF,ALL_1,IAP05,VRELMAX_ICCMAX,TEMP_100,IAP0,POR,G4
IAP06,CCFFREQ_IAVOLT,IAP06,ZERO,6MODULE,OFF,ALL_1,IAP06,VRELMAX_ICCMAX,TEMP_100,IAP0,POR,G4
IAP07,CCFFREQ_IAVOLT,IAP07,ZERO,7MODULE,OFF,ALL_1,IAP07,VRELMAX_ICCMAX,TEMP_100,IAP0,POR,G4
IAP08,CCFFREQ_IAVOLT,IAP08,ZERO,8MODULE,OFF,ALL_1,IAP08,VRELMAX_ICCMAX,TEMP_100,IAP0,POR,G4
ATP05,CCFFREQ_ATOMVOLT,ATP05,ZERO,5MODULE,OFF,ALL_1,ATP05,VRELMAX_ICCMAX,TEMP_100,ATP0,POR,G4
ATP06,CCFFREQ_ATOMVOLT,ATP06,ZERO,6MODULE,OFF,ALL_1,ATP06,VRELMAX_ICCMAX,TEMP_100,ATP0,POR,G4
ATP07,CCFFREQ_ATOMVOLT,ATP07,ZERO,7MODULE,OFF,ALL_1,ATP07,VRELMAX_ICCMAX,TEMP_100,ATP0,POR,G4
ATP08,CCFFREQ_ATOMVOLT,ATP08,ZERO,8MODULE,OFF,ALL_1,ATP08,VRELMAX_ICCMAX,TEMP_100,ATP0,POR,G4
IAP01TVB,OFF,IAP01TVB,ZERO,1MODULE,OFF,ALL_1,IAP01TVB,VRELMAX_ICCMAX,TVB,IAP0,POR,G4
IAP02TVB,CCFFREQ_IAVOLT,IAP02TVB,ZERO,2MODULE,OFF,ALL_1,IAP02TVB,VRELMAX_ICCMAX,TVB,IAP0,POR,G4
IAP03TVB,CCFFREQ_IAVOLT,IAP03TVB,ZERO,3MODULE,OFF,ALL_1,IAP03TVB,VRELMAX_ICCMAX,TVB,IAP0,POR,G4
IAP04TVB,CCFFREQ_IAVOLT,IAP04TVB,ZERO,4MODULE,OFF,ALL_1,IAP04TVB,VRELMAX_ICCMAX,TVB,IAP0,POR,G4
IAP05TVB,CCFFREQ_IAVOLT,IAP05TVB,ZERO,5MODULE,OFF,ALL_1,IAP05TVB,VRELMAX_ICCMAX,TVB,IAP0,POR,G4
IAP06TVB,CCFFREQ_IAVOLT,IAP06TVB,ZERO,6MODULE,OFF,ALL_1,IAP06TVB,VRELMAX_ICCMAX,TVB,IAP0,POR,G4
IAP07TVB,CCFFREQ_IAVOLT,IAP07TVB,ZERO,7MODULE,OFF,ALL_1,IAP07TVB,VRELMAX_ICCMAX,TVB,IAP0,POR,G4
IAP08TVB,CCFFREQ_IAVOLT,IAP08TVB,ZERO,8MODULE,OFF,ALL_1,IAP08TVB,VRELMAX_ICCMAX,TVB,IAP0,POR,G4
IAP0NFCT,OFF,IAP0NFCT,ZERO,FCT,OFF,ALL_1,IAP0NFCT,VRELMAX_ICCMAX,TEMP_100,IAP0,POR,G4
IAP0NFCTTVB,OFF,IAP0NFCTTVB,ZERO,FCT,OFF,ALL_1,IAP0NFCTTVB,VRELMAX_ICCMAX,TVB,IAP0,POR,G4
VCCSA_ICCMAX_PATHNPU,OFF,EDC,ZERO,DISABLE,SA_DE_4_PIPES,ALL_1,SAICCMAX_DT_NPU,ICCMAX,P1,SA_LMPD-1111,POR,G4
MIN_LATENCY_MBL,OFF,ON,ZERO,DISABLE,SA_DE_4_PIPES,SA_0P5,MIN_LATENCY_MBL,VRELMAX_ICCMAX,P1,SA_LMPD-0000,POR,G2
MIN_LATENCY_DT,OFF,OFF,ZERO,DISABLE,SA_DE_4_PIPES,SA_0P5,MIN_LATENCY_DT,ICCMAX,P1,SA_LMPD-1000,POR,G2
GAMING_DT_HX_1,OFF,OFF,ZERO,DISABLE,SA_DE_1_PIPE,SA_0P5,GAMING_DT_HX_1,ICCMAX,P1,SA_LMPD-1000,POR,G2
GAMING_DT_PUSH,OFF,OFF,ZERO,DISABLE,SA_DE_1_PIPE,SA_0P5,GAMING_DT_PUSH,ICCMAX,P1,SA_LMPD-1000,POR,G2
CREATIVE_MBL,OFF,EDC,ZERO,DISABLE,SA_DE_1_PIPE,SA_0P5,CREATIVE_MBL,ICCMAX,P1,SA_LMPD-0101,POR,G4
CREATIVE_DT,OFF,OFF,ZERO,DISABLE,SA_DE_1_PIPE,SA_0P5,CREATIVE_DT,ICCMAX,P1,SA_LMPD-1000,POR,G4
VPU_BENCHMARKING_MBL_1,OFF,ON,ZERO,DISABLE,SA_DE_4_PIPES,SA_0P5,VPU_BENCHMARKING_MBL_1,VRELMAX_ICCMAX,P1,SA_LMPD-0001,POR,G4
VPU_BENCHMARKING_MBL_2,OFF,EDC,ZERO,DISABLE,SA_DE_4_PIPES,SA_0P5,VPU_BENCHMARKING_MBL_2,ICCMAX,P1,SA_LMPD-0001,POR,G4
VPU_BENCHMARKING_MBL,OFF,EDC,ZERO,DISABLE,SA_DE_4_PIPES,SA_0P5,VPU_BENCHMARKING_MBL,ICCMAX,P1,SA_LMPD-0001,POR,G2
VPU_BENCHMARKING_DT_1,OFF,OFF,ZERO,DISABLE,SA_DE_4_PIPES,SA_0P5,VPU_BENCHMARKING_DT_1,ICCMAX,P1,SA_LMPD-1001,POR,G4
VPU_BENCHMARKING_DT_2,OFF,OFF,ZERO,DISABLE,SA_DE_4_PIPES,SA_0P5,VPU_BENCHMARKING_DT_2,ICCMAX,P1,SA_LMPD-1001,POR,G2
MEDIA_MAX_DT,OFF,OFF,ZERO,DISABLE,SA_DE_4_PIPES,SA_0P5,MEDIA_MAX_DT,ICCMAX,P1,SA_LMPD-1100,POR,G2
MEDIA_MAX_MBL,OFF,ON,ZERO,DISABLE,SA_DE_4_PIPES,SA_0P5,MEDIA_MAX_MBL,VRELMAX_ICCMAX,P1,SA_LMPD-0100,POR,G4
SURVIVABILITY_MBL,OFF,EDC,ZERO,DISABLE,SA_DE_4_PIPES,SA_0P5,SURVIVABILITY_MBL,ICCMAX,P1,SA_LMPD-0111,POR,G4
SURVIVABILITY_DT,OFF,OFF,ZERO,DISABLE,SA_DE_4_PIPES,SA_0P5,SURVIVABILITY_DT,ICCMAX,P1,SA_LMPD-1111,POR,G4
LP_ATOM_FMAX_DT_1,OFF,OFF,ZERO,DISABLE,SA_DE_4_PIPES,SA_0P5,LP_ATOM_FMAX_DT_1,ICCMAX,P1,SA_LMPD-1000,POR,G2
LP_ATOM_FMAX_MBL,OFF,ON,ZERO,DISABLE,SA_DE_4_PIPES,SA_0P5,LP_ATOM_FMAX_DT_1,VRELMAX_ICCMAX,P1,SA_LMPD-1000,ZERO,G2
LP_ATOM_FMAX_DT_2,OFF,OFF,ZERO,DISABLE,SA_DE_4_PIPES,SA_0P5,LP_ATOM_FMAX_DT_2,ICCMAX,P1,SA_LMPD-1000,POR,G4
IPU_FMAX_MBL,OFF,ON,ZERO,DISABLE,SA_DE_4_PIPES,SA_0P5,IPU_FMAX_MBL,VRELMAX_ICCMAX,P1,SA_LMPD-0110,POR,G4
ABSOLUTE_MAX_VIRUS_MBL,OFF,EDC,ZERO,DISABLE,SA_DE_4_PIPES,SA_0P5,ABSOLUTE_MAX_VIRUS_MBL,ICCMAX,P1,SA_LMPD-0111,POR,G4
SAICCMAX_DT_NPU,OFF,OFF,ZERO,DISABLE,SA_DE_4_PIPES,SA_0P5,SAICCMAX_DT_NPU,ICCMAX,P1,SA_LMPD-1101,POR,G4
ABSOLUTE_MAX_VIRUS_DT_2,OFF,OFF,ZERO,DISABLE,SA_DE_4_PIPES,SA_0P5,ABSOLUTE_MAX_VIRUS_DT_2,ICCMAX,P1,SA_LMPD-1101,POR,G4
ABSOLUTE_MAX_VIRUS_DT_3,OFF,OFF,ZERO,DISABLE,SA_DE_1_PIPE,SA_0P5,ABSOLUTE_MAX_VIRUS_DT_3,ICCMAX,P1,SA_LMPD-1101,POR,G4
MIN_LATENCY_MBL_MAX,OFF,ON,ZERO,DISABLE,SA_DE_4_PIPES,ALL_1,MIN_LATENCY_MBL,ICCMAX,P1,SA_LMPD-0000,ZERO,G2
MIN_LATENCY_DT_MAX,OFF,OFF,ZERO,DISABLE,SA_DE_4_PIPES,ALL_1,MIN_LATENCY_DT,ICCMAX,P1,SA_LMPD-1000,ZERO,G2
GAMING_DT_HX_1_MAX,OFF,OFF,ZERO,DISABLE,SA_DE_1_PIPE,ALL_1,GAMING_DT_HX_1,ICCMAX,P1,SA_LMPD-1000,ZERO,G2
GAMING_DT_PUSH_ATOFF,OFF,OFF,ZERO,DISABLE,SA_DE_1_PIPE,SA_0P5,GAMING_DT_PUSH,ICCMAX,P1,SA_LMPD-0000,POR,G4
GAMING_DT_PUSH_MAX,OFF,OFF,ZERO,DISABLE,SA_DE_1_PIPE,ALL_1,GAMING_DT_PUSH,ICCMAX,P1,SA_LMPD-1000,ZERO,G2
GAMING_DT_PUSH_ATOFF_MAX,OFF,OFF,ZERO,DISABLE,SA_DE_1_PIPE,ALL_1,GAMING_DT_PUSH,ICCMAX,P1,SA_LMPD-0000,ZERO,G4
CREATIVE_MBL_MAX,OFF,EDC,ZERO,DISABLE,SA_DE_1_PIPE,ALL_1,CREATIVE_MBL,ICCMAX,P1,SA_LMPD-0101,ZERO,G4
CREATIVE_DT_MAX,OFF,OFF,ZERO,DISABLE,SA_DE_1_PIPE,ALL_1,CREATIVE_DT,ICCMAX,P1,SA_LMPD-1000,ZERO,G4
VPU_BENCHMARKING_MBL_1_MAX,OFF,ON,ZERO,DISABLE,SA_DE_4_PIPES,ALL_1,VPU_BENCHMARKING_MBL_1,ICCMAX,P1,SA_LMPD-0001,ZERO,G4
VPU_BENCHMARKING_MBL_2_MAX,OFF,EDC,ZERO,DISABLE,SA_DE_4_PIPES,ALL_1,VPU_BENCHMARKING_MBL_2,ICCMAX,P1,SA_LMPD-0001,ZERO,G4
VPU_BENCHMARKING_MBL_MAX,OFF,EDC,ZERO,DISABLE,SA_DE_4_PIPES,ALL_1,VPU_BENCHMARKING_MBL,ICCMAX,P1,SA_LMPD-0001,ZERO,G2
VPU_BENCHMARKING_DT_1_MAX,OFF,OFF,ZERO,DISABLE,SA_DE_4_PIPES,ALL_1,VPU_BENCHMARKING_DT_1,ICCMAX,P1,SA_LMPD-1001,ZERO,G4
VPU_BENCHMARKING_DT_2_MAX,OFF,OFF,ZERO,DISABLE,SA_DE_4_PIPES,ALL_1,VPU_BENCHMARKING_DT_2,ICCMAX,P1,SA_LMPD-1001,ZERO,G2
MEDIA_MAX_DT_MAX,OFF,OFF,ZERO,DISABLE,SA_DE_4_PIPES,ALL_1,MEDIA_MAX_DT,ICCMAX,P1,SA_LMPD-1100,ZERO,G2
MEDIA_MAX_MBL_MAX,OFF,ON,ZERO,DISABLE,SA_DE_4_PIPES,ALL_1,MEDIA_MAX_MBL,ICCMAX,P1,SA_LMPD-0100,ZERO,G4
SURVIVABILITY_MBL_MAX,OFF,EDC,ZERO,DISABLE,SA_DE_4_PIPES,ALL_1,SURVIVABILITY_MBL,ICCMAX,P1,SA_LMPD-0111,ZERO,G4
SURVIVABILITY_DT_MAX,OFF,OFF,ZERO,DISABLE,SA_DE_4_PIPES,ALL_1,SURVIVABILITY_DT,ICCMAX,P1,SA_LMPD-1111,ZERO,G4
LP_ATOM_FMAX_DT_1_MAX,OFF,OFF,ZERO,DISABLE,SA_DE_4_PIPES,ALL_1,LP_ATOM_FMAX_DT_1,ICCMAX,P1,SA_LMPD-1000,ZERO,G2
LP_ATOM_FMAX_MBL_MAX,OFF,ON,ZERO,DISABLE,SA_DE_4_PIPES,ALL_1,LP_ATOM_FMAX_DT_1,ICCMAX,P1,SA_LMPD-1000,ZERO,G2
LP_ATOM_FMAX_DT_2_MAX,OFF,OFF,ZERO,DISABLE,SA_DE_4_PIPES,ALL_1,LP_ATOM_FMAX_DT_2,ICCMAX,P1,SA_LMPD-1000,ZERO,G4
IPU_FMAX_MBL_MAX,OFF,ON,ZERO,DISABLE,SA_DE_4_PIPES,ALL_1,IPU_FMAX_MBL,ICCMAX,P1,SA_LMPD-0110,ZERO,G4
ABSOLUTE_MAX_VIRUS_MBL_MAX,OFF,EDC,ZERO,DISABLE,SA_DE_4_PIPES,ALL_1,ABSOLUTE_MAX_VIRUS_MBL,ICCMAX,P1,SA_LMPD-0111,ZERO,G4
SAICCMAX_DT_NPU_MAX,OFF,OFF,ZERO,DISABLE,SA_DE_4_PIPES,ALL_1,SAICCMAX_DT_NPU,ICCMAX,P1,SA_LMPD-1101,ZERO,G4
ABSOLUTE_MAX_VIRUS_DT_2_MAX,OFF,OFF,ZERO,DISABLE,SA_DE_4_PIPES,ALL_1,ABSOLUTE_MAX_VIRUS_DT_2,ICCMAX,P1,SA_LMPD-1101,ZERO,G4
ABSOLUTE_MAX_VIRUS_DT_3_MAX,OFF,OFF,ZERO,DISABLE,SA_DE_1_PIPE,ALL_1,ABSOLUTE_MAX_VIRUS_DT_3,ICCMAX,P1,SA_LMPD-1101,ZERO,G4
P1UP,OFF,P1UP,P1,DISABLE,P1,P1_CB24_AR,P1UP,TDPUP,P1,P1,POR,G4
P1DN,OFF,P1DN,P1,DISABLE,P1,P1_CB24_AR,P1DN,TDPDN,P1,P1,POR,G4
SA_ICCMAX,OFF,EDC,ZERO,DISABLE,P1,ALL_1,SA_ICCMAX,VRELMAX_ICCMAX,TEMP_100,SA_ICCMAX,POR,G4
SA_VRELMAX,OFF,EDC,ZERO,DISABLE,P1,GT_0.5,SA_VRELMAX,VRELMAX_ICCMAX,TEMP_100,SA_VRELMAX,POR,G4
